,Tweets
193,@TheAthletic @MikeDugar @AkronJackson @ByAdamC @LombardiHimself One more time for the athletic. THE HOUSTON TEXANS… https://t.co/V2gsYVIeQT
194,"RT @HoustonChron: 🧵@JJWatt may not sport red and blue anymore, but the defensive end still supports his Houston Texans fans.
✏️ @mo_unique_…"
195,"""I freaking love you man,"" Simpson replied. ""It’s been a hard year for me, and this last month has been hard since… https://t.co/dUAaWIMmPt"
196,"""Don’t sell your shoes and jersey, we’ll help with the funeral,"" he replied on Twitter. ""I’m sorry for your loss.""
https://t.co/wyRNX3u9Ua"
197,So she turned to her beloved Texans gear. Watt caught wind of Simpson's cry for help and stepped in vowing to cover… https://t.co/U8BdmO0I2C
198,"Five days later and running out of ideas, she became discouraged. 
 
""I don’t know what else to do,"" wrote Simpson,… https://t.co/8PqsdPz9Ts"
199,"Many responded expressing their condolences and some offered to donate money, but still she was struggling to raise… https://t.co/dz3MP6MVYD"
200,"Simpson has been fundraising daily for the last several weeks since her grandfather passed on June 20, according to… https://t.co/VpMFzJ0Uxc"
201,"A devout Texans and Astros fan, who identifies as Jennifer Simpson, took to Twitter late Wednesday night to sell a… https://t.co/LNGdLxRKjL"
202,"🧵@JJWatt may not sport red and blue anymore, but the defensive end still supports his Houston Texans fans.
✏️… https://t.co/2bwzMwizxw"
203,RT @JohnHCrumpler: Houston rookie CB Derek Stingley Jr. comes in at 77 OVR and the second highest rated rookie corner for his class. He's b…
204,RT @Chron_MattYoung: J.J. Watt saw a Texans fan in need last night and stepped up to help out. https://t.co/vdT4gNMPuI via @chron
205,The Houston Texans kickoff training camp July 29 at Houston Methodist Training Center. Here is a player from each p… https://t.co/rc8YhMv9dr
206,Texans Prove Lack of Direction If Trading For 49ers QB Jimmy Garoppolo #HoustonTexans #Texans #GoTexans #HTown… https://t.co/9cxu2PFpbn
207,"RT @wcnc: JJ Watt saw a tweet that a Houston Texans fan was selling some of her Watt gear and told her he would help instead. ❤️

 https://…"
208,RT @wfaasports: JJ Watt saw a tweet that a Houston Texans fan was selling some of her Watt gear and told her he would help instead. ❤️ http…
209,RT @wfaasports: JJ Watt saw a tweet that a Houston Texans fan was selling some of her Watt gear and told her he would help instead. ❤️ http…
210,RT @JohnHCrumpler: Houston rookie CB Derek Stingley Jr. comes in at 77 OVR and the second highest rated rookie corner for his class. He's b…
211,RT @wfaasports: JJ Watt saw a tweet that a Houston Texans fan was selling some of her Watt gear and told her he would help instead. ❤️ http…
212,RT @wfaasports: JJ Watt saw a tweet that a Houston Texans fan was selling some of her Watt gear and told her he would help instead. ❤️ http…
213,RT @wfaasports: JJ Watt saw a tweet that a Houston Texans fan was selling some of her Watt gear and told her he would help instead. ❤️ http…
214,RT @wfaasports: JJ Watt saw a tweet that a Houston Texans fan was selling some of her Watt gear and told her he would help instead. ❤️ http…
215,"RT @jay4txland: Once again, Houston is caught in the GLO's crosshairs.

This time, the office is stripping the city of another $91 million…"
216,RT @wfaasports: JJ Watt saw a tweet that a Houston Texans fan was selling some of her Watt gear and told her he would help instead. ❤️ http…
217,Houston rookie CB Derek Stingley Jr. comes in at 77 OVR and the second highest rated rookie corner for his class. H… https://t.co/MEKwTIx7e8
218,RT @wfaasports: JJ Watt saw a tweet that a Houston Texans fan was selling some of her Watt gear and told her he would help instead. ❤️ http…
219,RT @wfaasports: JJ Watt saw a tweet that a Houston Texans fan was selling some of her Watt gear and told her he would help instead. ❤️ http…
220,"This is nothing new for Watt 👇
https://t.co/V5hDZO3Evq"
221,"@JJWatt is an Arizona Cardinal, but he's still looking out for Houston Texans fans. https://t.co/0AH0n2zB8m"
