,Tweets
205,"Arizona Cardinals star Kyler Murray agrees to $230.5 million deal, is now among #NFL's richest QBs, source says 

(… https://t.co/sjJlB0VO45"
206,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
207,"RT @AdamSchefter: More on Kyler Murray agreeing to a five-year extension worth $230.5 million, making him one of the NFL's highest-paid qua…"
208,"RT @AdamSchefter: Cardinals are giving QB Kyler Murray a five-year extension that ties him to Arizona for six more years, per source."
209,"Arizona Cardinals star Kyler Murray has agreed to a five-year extension worth $230.5 million, a source told ESPN's… https://t.co/xqjIJ25MaN"
210,"RT @TMSMpodcast: Kyler Murray gets his extension. 
Jimmy Garoppolo seeks a trade.
Matthew Stafford has a ring.
Drew Lock. Has a new team……"
211,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
212,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
213,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
214,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
215,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
216,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
217,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
